2009-05-24T03:56:00.000Z	myxo_		hey guys, anyone know of a good guide i can follow to setup a vbox?
2009-05-24T04:34:00.000Z	Zzeiss	myxo_	Yeah.  go back to Settings>CD/DVDROM
2009-05-24T04:34:00.000Z	Zzeiss	myxo_	Tell me what you have in Settings>DVDROM.
2009-05-24T04:35:00.000Z	Zzeiss	myxo_	er, tell me what you have in Settings > CD/DVD-ROM ?
2009-05-24T04:35:00.000Z	Zzeiss	myxo_	OK, that's right.
2009-05-24T04:36:00.000Z	Zzeiss	myxo_	OK, back to General > Advanced.  What's your boot order- and is CD/DVD checked off?
2009-05-24T04:36:00.000Z	Zzeiss	myxo_	(you might need to move CD/DVD to the top of the list.  )
2009-05-24T04:36:00.000Z	Zzeiss	myxo_	no you don't need to F12.  Just check the CD/DVD and it will find it.
2009-05-24T04:37:00.000Z	Zzeiss	myxo_	isn't it an absolute GAS to see the bootup sequence happening in that little window?  :)
2009-05-24T04:38:00.000Z	Zzeiss	myxo_	yeah.  It's a gas.  :)
2009-05-24T04:38:00.000Z	Zzeiss	myxo_	Just be sure to take snapshots and back up those snapshots!
2009-05-24T04:38:00.000Z	Zzeiss	myxo_	Yes, you can.  One guy I know got something like twenty levels deep before he got bored.  :)
2009-05-24T04:39:00.000Z	Zzeiss	myxo_	actually, the snapshot is NOT bootable.  It is _resumeable_, so essentially it's insta-boot (like resuming from suspend-to-RAM).
2009-05-24T04:39:00.000Z	Zzeiss	myxo_	you don't even need to go thru the bootup sequence... it wakes up exactly where you left off.
2009-05-24T04:42:00.000Z	Zzeiss	myxo_	Oh, shoulda warned you about that.  Down in the lower right corner there is a logo that tells you what button will release the mouse and KB.
2009-05-24T04:43:00.000Z	Zzeiss	myxo_	also, the first time it happens on any VM, it pops a warning box you have to click thru that says "here is how you un-capture the mouse".
2009-05-24T04:44:00.000Z	Zzeiss	myxo_	Lemme guess, you clicked thru the clickthru box.
2009-05-24T04:44:00.000Z	Zzeiss	myxo_	Depends on what you have it set for.  You can change it.  I have mine set for "right ALT" here on the MB.
2009-05-24T04:45:00.000Z	Zzeiss	myxo_	You should be able to.  It might get a little slow but it should still work.  Give it a try- if it fails, delete the virtual machine and try again .
2009-05-24T04:46:00.000Z	Zzeiss	myxo_	note- BE CAREFUL to always use the menu to add/delete virtual machines, don't use "rm" from the command line, because there's a lot of bookkeeping inside VBox that depends on the filenames being intact and there.
2009-05-24T04:48:00.000Z	Zzeiss	myxo_	No problem then.  To delete the virtual disks, you use VirtualBox > File > Virtual Media Manager " and do it in there.  That keeps all of the pointers correct.
2009-05-24T04:50:00.000Z	Zzeiss	myxo_	No problem.  :)  We all have our little moments like that.  :)
2009-05-24T04:50:00.000Z	Zzeiss	myxo_	You know, in a way, I feel kinda bad that I'm helping you get XP running in Vbox.  I feel like I'm loaning you money to buy crack cocaine or something...
2009-05-24T04:50:00.000Z	Zzeiss	myxo_	This is your XP disk?
2009-05-24T04:52:00.000Z	Zzeiss	myxo_	Oh.... that would do it.
2009-05-24T04:54:00.000Z	Zzeiss	myxo_	Yep.  That's one of the great things about it.  Also it
2009-05-24T04:55:00.000Z	Zzeiss	myxo_	Also because you can snapshot it and roll back to the snapshot, it's a great place for experimenting.
2009-05-24T04:55:00.000Z	Zzeiss	myxo_	that's the way computers _should_ be.  Psychotic, in a nice way.  :)
2009-05-24T04:56:00.000Z	Zzeiss	myxo_	depends on Vbox, but I think that you'll end up paging like crazy, and yes, it will run like crap.
2009-05-24T04:56:00.000Z	Zzeiss	myxo_	Glad to be of service.  :)
2009-05-24T04:57:00.000Z	Zzeiss	myxo_	Usually.  You might need to check the checkbox to allow the game to access your 3d card, if it is that kind of game.
2009-05-24T04:58:00.000Z	Zzeiss	myxo_	but I haven't been able to try that, since the Macbook Nvidia 9400M is NOT supported AT ALL, even by the Nvidia binary blob, so I am running in vESA mode.
2009-05-24T04:58:00.000Z	Zzeiss	myxo_	But if you can run the game in WINE, that might be simpler.  :)
2009-05-24T04:59:00.000Z	Zzeiss	myxo_	and if you can run it in WINE, it will be a lot more secure.  Remember, even a VBox virtual XP machine can get virused just as easily as a real XP machine.  Which, if you ask me sucks, but it is proof that it's a real XP and not an emulator.
2009-05-24T04:59:00.000Z	Zzeiss	myxo_	Yes, WINE is an emulator for Windows.  That's how I played Portal thru to the end.  :)
2009-05-24T05:00:00.000Z	Zzeiss	myxo_	Yep.  And, I believe, comes with 9.04 standard.
2009-05-24T05:09:00.000Z	Zzeiss	myxo_	I believe so.
2009-05-24T05:10:00.000Z	Zzeiss	myxo_	I believe so.  That's what I would do, though I usually just create new VMs.  But the book has a whole chapter on it.
2009-05-24T05:14:00.000Z	Zzeiss	myxo_	Exactly so.  Especially since if you screw it up, you can toss back to a snapshot and then it UNhappens.  :)
2009-05-24T05:21:00.000Z	Zzeiss	myxo_	Yes.  You get the inside machine to request that size, and then VBox will resize to it.  Magically.  :)
2009-05-24T05:27:00.000Z	Zzeiss	myxo_	Hmmm... dunno.... maybe install the driver or the addon extras for XP?  I've only done it inside Linux.
